Artist,Caption,Copyright,ImageURL,Photograph Number,Photo Credit,Date,Year,Photo Source,Provenance,Source Record ID,Detected Objects,URL,Born,Died,Camp,Ghetto,Location,Database,Material,Technique,Title,latitude,longitude
Ervin Abadi,"Holocaust art by Ervin Abadi. Ink drawing.Ervin Abadi, a Hungarian Jew from Budapest, was an aspiring young artist when WWII began.  He was drafted into the Hungarian labor service in the early 1940s.  Abadi managed to escape, but  was recaptured and immediately deported to Bergen-Belsen.  When the camp was liberated, his condition was such that he required extended hospitalization.  During his convalescence, he created dozens of works of holocaust art, including ink drawings, pencil and ink sketches and  watercolors.After recuperating Abadi returned to Budapest, where he published a collection of his watercolors in 1946.  After becoming disillusioned with the communist regime in Hungary, he moved to Israel, where he continued to publish in Hungarian and Hebrew.  He died in Israel in 1980.","United States Holocaust Memorial Museum
Copyright: United States Holocaust Memorial Museum
Provenance: George Bozoki
Source Record ID: Collections: 1992.193",https://collections.ushmm.org/iiif-b/assets/703172,pa1111629,"United States Holocaust Memorial Museum, courtesy of George Bozoki",Circa 1945,1945,United States Holocaust Memorial Museum,George Bozoki,Collections: 1992.193,"Tree (0.76), Human face (0.63), Person (0.49), Person (0.36), Man (0.35), Tree (0.26)",https://collections.ushmm.org/search/catalog/pa1111629,"Budapest, Hungary",Israel,Bergen-Belsen,Unknown,"Bergen-Belsen, Germany",United States Holocaust Memorial Museum,Unknown,Unknown,Unknown,52.7580569,9.9117992
Ervin Abadi,"Holocaust art by Ervin Abadi. Ink drawing.Ervin Abadi, a Hungarian Jew from Budapest, was an aspiring young artist when WWII began.  He was drafted into the Hungarian labor service in the early 1940s.  Abadi managed to escape, but  was recaptured and immediately deported to Bergen-Belsen.  When the camp was liberated, his condition was such that he required extended hospitalization.  During his convalescence, he created dozens of works of holocaust art, including ink drawings, pencil and ink sketches and  watercolors.After recuperating Abadi returned to Budapest, where he published a collection of his watercolors in 1946.  After becoming disillusioned with the communist regime in Hungary, he moved to Israel, where he continued to publish in Hungarian and Hebrew.  He died in Israel in 1980.","United States Holocaust Memorial Museum
Copyright: United States Holocaust Memorial Museum
Provenance: George Bozoki
Source Record ID: Collections: 1992.193",https://collections.ushmm.org/iiif-b/assets/703192,pa1111656,"United States Holocaust Memorial Museum, courtesy of George Bozoki",Circa 1945,1945,United States Holocaust Memorial Museum,George Bozoki,Collections: 1992.193,"Human face (0.97), Man (0.53), Person (0.34)",https://collections.ushmm.org/search/catalog/pa1111656,"Budapest, Hungary",Israel,Bergen-Belsen,Unknown,"Bergen-Belsen, Germany",United States Holocaust Memorial Museum,Unknown,Unknown,Unknown,52.7580569,9.9117992
Ervin Abadi,"Holocaust art by Ervin Abadi. Ink drawing.Ervin Abadi, a Hungarian Jew from Budapest, was an aspiring young artist when WWII began.  He was drafted into the Hungarian labor service in the early 1940s.  Abadi managed to escape, but  was recaptured and immediately deported to Bergen-Belsen.  When the camp was liberated, his condition was such that he required extended hospitalization.  During his convalescence, he created dozens of works of holocaust art, including ink drawings, pencil and ink sketches and  watercolors.After recuperating Abadi returned to Budapest, where he published a collection of his watercolors in 1946.  After becoming disillusioned with the communist regime in Hungary, he moved to Israel, where he continued to publish in Hungarian and Hebrew.  He died in Israel in 1980.","United States Holocaust Memorial Museum
Copyright: United States Holocaust Memorial Museum
Provenance: George Bozoki
Source Record ID: Collections: 1992.193",https://collections.ushmm.org/iiif-b/assets/703153,pa1111660,"United States Holocaust Memorial Museum, courtesy of George Bozoki",Circa 1945,1945,United States Holocaust Memorial Museum,George Bozoki,Collections: 1992.193,"Human face (0.97), Man (0.53), Person (0.48), Human nose (0.25)",https://collections.ushmm.org/search/catalog/pa1111660,"Budapest, Hungary",Israel,Bergen-Belsen,Unknown,"Bergen-Belsen, Germany",United States Holocaust Memorial Museum,Unknown,Unknown,Unknown,52.7580569,9.9117992
Ervin Abadi,"Holocaust art by Ervin Abadi. Pencil drawing.Ervin Abadi, a Hungarian Jew from Budapest, was an aspiring young artist when WWII began.  He was drafted into the Hungarian labor service in the early 1940s.  Abadi managed to escape, but  was recaptured and immediately deported to Bergen-Belsen.  When the camp was liberated, his condition was such that he required extended hospitalization.  During his convalescence, he created dozens of works of holocaust art, including ink drawings, pencil and ink sketches and  watercolors.After recuperating Abadi returned to Budapest, where he published a collection of his watercolors in 1946.  After becoming disillusioned with the communist regime in Hungary, he moved to Israel, where he continued to publish in Hungarian and Hebrew.  He died in Israel in 1980.","United States Holocaust Memorial Museum
Copyright: United States Holocaust Memorial Museum
Provenance: George Bozoki
Source Record ID: Collections: 1992.193",https://collections.ushmm.org/iiif-b/assets/699347,pa1111683,"United States Holocaust Memorial Museum, courtesy of George Bozoki",Circa 1945,1945,United States Holocaust Memorial Museum,George Bozoki,Collections: 1992.193,"Book (0.73), Person (0.72), Clothing (0.66), Animal (0.51), Poster (0.21)",https://collections.ushmm.org/search/catalog/pa1111683,"Budapest, Hungary",Israel,Bergen-Belsen,Unknown,"Bergen-Belsen, Germany",United States Holocaust Memorial Museum,Unknown,Unknown,Unknown,52.7580569,9.9117992
Ervin Abadi,"Holocaust art by Ervin Abadi. Pencil drawing.Ervin Abadi, a Hungarian Jew from Budapest, was an aspiring young artist when WWII began.  He was drafted into the Hungarian labor service in the early 1940s.  Abadi managed to escape, but  was recaptured and immediately deported to Bergen-Belsen.  When the camp was liberated, his condition was such that he required extended hospitalization.  During his convalescence, he created dozens of works of holocaust art, including ink drawings, pencil and ink sketches and  watercolors.After recuperating Abadi returned to Budapest, where he published a collection of his watercolors in 1946.  After becoming disillusioned with the communist regime in Hungary, he moved to Israel, where he continued to publish in Hungarian and Hebrew.  He died in Israel in 1980.","United States Holocaust Memorial Museum
Copyright: United States Holocaust Memorial Museum
Provenance: George Bozoki
Source Record ID: Collections: 1992.193",https://collections.ushmm.org/iiif-b/assets/699402,pa1111705,"United States Holocaust Memorial Museum, courtesy of George Bozoki",Circa 1945,1945,United States Holocaust Memorial Museum,George Bozoki,Collections: 1992.193,"Poster (0.39), Book (0.24)",https://collections.ushmm.org/search/catalog/pa1111705,"Budapest, Hungary",Israel,Bergen-Belsen,Unknown,"Bergen-Belsen, Germany",United States Holocaust Memorial Museum,Unknown,Unknown,Unknown,52.7580569,9.9117992
Ervin Abadi,"Holocaust art by Ervin Abadi. Ink drawing.Ervin Abadi, a Hungarian Jew from Budapest, was an aspiring young artist when WWII began.  He was drafted into the Hungarian labor service in the early 1940s.  Abadi managed to escape, but  was recaptured and immediately deported to Bergen-Belsen.  When the camp was liberated, his condition was such that he required extended hospitalization.  During his convalescence, he created dozens of works of holocaust art, including ink drawings, pencil and ink sketches and  watercolors.After recuperating Abadi returned to Budapest, where he published a collection of his watercolors in 1946.  After becoming disillusioned with the communist regime in Hungary, he moved to Israel, where he continued to publish in Hungarian and Hebrew.  He died in Israel in 1980.","United States Holocaust Memorial Museum
Copyright: United States Holocaust Memorial Museum
Provenance: George Bozoki
Source Record ID: Collections: 1992.193",https://collections.ushmm.org/iiif-b/assets/703135,pa1111636,"United States Holocaust Memorial Museum, courtesy of George Bozoki",Circa 1945,1945,United States Holocaust Memorial Museum,George Bozoki,Collections: 1992.193,"Human face (0.98), Human face (0.97), Man (0.67), Woman (0.62), Clothing (0.54), Clothing (0.38), Woman (0.31), Human head (0.27)",https://collections.ushmm.org/search/catalog/pa1111636,"Budapest, Hungary",Israel,Bergen-Belsen,Unknown,"Bergen-Belsen, Germany",United States Holocaust Memorial Museum,Unknown,Unknown,Unknown,52.7580569,9.9117992
Ervin Abadi,"Holocaust art by Ervin Abadi. Ink drawing.Ervin Abadi, a Hungarian Jew from Budapest, was an aspiring young artist when WWII began.  He was drafted into the Hungarian labor service in the early 1940s.  Abadi managed to escape, but  was recaptured and immediately deported to Bergen-Belsen.  When the camp was liberated, his condition was such that he required extended hospitalization.  During his convalescence, he created dozens of works of holocaust art, including ink drawings, pencil and ink sketches and  watercolors.After recuperating Abadi returned to Budapest, where he published a collection of his watercolors in 1946.  After becoming disillusioned with the communist regime in Hungary, he moved to Israel, where he continued to publish in Hungarian and Hebrew.  He died in Israel in 1980.","United States Holocaust Memorial Museum
Copyright: United States Holocaust Memorial Museum
Provenance: George Bozoki
Source Record ID: Collections: 1992.193",https://collections.ushmm.org/iiif-b/assets/703167,pa1111650,"United States Holocaust Memorial Museum, courtesy of George Bozoki",Circa 1945,1945,United States Holocaust Memorial Museum,George Bozoki,Collections: 1992.193,"Human face (0.94), Human face (0.91), Human face (0.75), Human face (0.69), Helmet (0.69), Human face (0.66), Man (0.62), Man (0.58), Woman (0.54), Clothing (0.53), Man (0.42), Clothing (0.33), Clothing (0.31), Man (0.28), Person (0.21), Woman (0.20), Person (0.20)",https://collections.ushmm.org/search/catalog/pa1111650,"Budapest, Hungary",Israel,Bergen-Belsen,Unknown,"Bergen-Belsen, Germany",United States Holocaust Memorial Museum,Unknown,Unknown,Unknown,52.7580569,9.9117992
Ervin Abadi,"Holocaust art by Ervin Abadi. Pencil drawing.Ervin Abadi, a Hungarian Jew from Budapest, was an aspiring young artist when WWII began.  He was drafted into the Hungarian labor service in the early 1940s.  Abadi managed to escape, but  was recaptured and immediately deported to Bergen-Belsen.  When the camp was liberated, his condition was such that he required extended hospitalization.  During his convalescence, he created dozens of works of holocaust art, including ink drawings, pencil and ink sketches and  watercolors.After recuperating Abadi returned to Budapest, where he published a collection of his watercolors in 1946.  After becoming disillusioned with the communist regime in Hungary, he moved to Israel, where he continued to publish in Hungarian and Hebrew.  He died in Israel in 1980.","United States Holocaust Memorial Museum
Copyright: United States Holocaust Memorial Museum
Provenance: George Bozoki
Source Record ID: Collections: 1992.193",https://collections.ushmm.org/iiif-b/assets/703198,pa1111661,"United States Holocaust Memorial Museum, courtesy of George Bozoki",Circa 1945,1945,United States Holocaust Memorial Museum,George Bozoki,Collections: 1992.193,"Man (0.97), Human face (0.97), Human hair (0.25)",https://collections.ushmm.org/search/catalog/pa1111661,"Budapest, Hungary",Israel,Bergen-Belsen,Unknown,"Bergen-Belsen, Germany",United States Holocaust Memorial Museum,Unknown,Unknown,Unknown,52.7580569,9.9117992
Ervin Abadi,"Holocaust art by Ervin Abadi. Pencil sketch.Ervin Abadi, a Hungarian Jew from Budapest, was an aspiring young artist when WWII began.  He was drafted into the Hungarian labor service in the early 1940s.  Abadi managed to escape, but  was recaptured and immediately deported to Bergen-Belsen.  When the camp was liberated, his condition was such that he required extended hospitalization.  During his convalescence, he created dozens of works of holocaust art, including ink drawings, pencil and ink sketches and  watercolors.After recuperating Abadi returned to Budapest, where he published a collection of his watercolors in 1946.  After becoming disillusioned with the communist regime in Hungary, he moved to Israel, where he continued to publish in Hungarian and Hebrew.  He died in Israel in 1980.","United States Holocaust Memorial Museum
Copyright: United States Holocaust Memorial Museum
Provenance: George Bozoki
Source Record ID: Collections: 1992.193",https://collections.ushmm.org/iiif-b/assets/703197,pa1111673,"United States Holocaust Memorial Museum, courtesy of George Bozoki",Circa 1945,1945,United States Holocaust Memorial Museum,George Bozoki,Collections: 1992.193,"Poster (0.78), Building (0.44), House (0.43), Envelope (0.32)",https://collections.ushmm.org/search/catalog/pa1111673,"Budapest, Hungary",Israel,Bergen-Belsen,Unknown,"Bergen-Belsen, Germany",United States Holocaust Memorial Museum,Unknown,Unknown,Unknown,52.7580569,9.9117992
Ervin Abadi,"Holocaust art by Ervin Abadi. Ink drawing.Ervin Abadi, a Hungarian Jew from Budapest, was an aspiring young artist when WWII began.  He was drafted into the Hungarian labor service in the early 1940s.  Abadi managed to escape, but  was recaptured and immediately deported to Bergen-Belsen.  When the camp was liberated, his condition was such that he required extended hospitalization.  During his convalescence, he created dozens of works of holocaust art, including ink drawings, pencil and ink sketches and  watercolors.After recuperating Abadi returned to Budapest, where he published a collection of his watercolors in 1946.  After becoming disillusioned with the communist regime in Hungary, he moved to Israel, where he continued to publish in Hungarian and Hebrew.  He died in Israel in 1980.","United States Holocaust Memorial Museum
Copyright: United States Holocaust Memorial Museum
Provenance: George Bozoki
Source Record ID: Collections: 1992.193",https://collections.ushmm.org/iiif-b/assets/703169,pa1111628,"United States Holocaust Memorial Museum, courtesy of George Bozoki",Circa 1945,1945,United States Holocaust Memorial Museum,George Bozoki,Collections: 1992.193,"Man (0.64), Tree (0.62), Clothing (0.57), House (0.39), Person (0.30), Poster (0.23)",https://collections.ushmm.org/search/catalog/pa1111628,"Budapest, Hungary",Israel,Bergen-Belsen,Unknown,"Bergen-Belsen, Germany",United States Holocaust Memorial Museum,Unknown,Unknown,Unknown,52.7580569,9.9117992
